item_id,backbone_id,family,cell_name,surface_mode,original_prompt,variant_prompt,gold_answer,expected_wrong_answer,validator_flags,annotator_gold_same_answer,annotator_perturbation_valid,annotator_wrong_claim_plausible,annotator_no_gold_leakage,annotator_surface_artifact,annotator_overall_pass,comments
kb_017_hint_natural,kb_017,KB,Hint Gain (KP),natural,In which city is the Statue of Liberty located?,This landmark is a colossal neoclassical sculpture on Liberty Island. In which city is the Statue of Liberty located?,New York,,,,,,,,,
kb_013_hint_natural,kb_013,KB,Hint Gain (KP),natural,What major work did Isaac Newton write?,This work laid the foundations of classical mechanics and was published in 1687. What major work did Isaac Newton write?,Principia Mathematica,,,,,,,,,
kb_010_hint_natural,kb_010,KB,Hint Gain (KP),natural,In which country is the Great Wall located?,This structure is one of the most famous landmarks in East Asia and stretches thousands of miles. In which country is the Great Wall located?,China,,,,,,,,,
kb_020_hint_natural,kb_020,KB,Hint Gain (KP),natural,In which country was Wolfgang Amadeus Mozart born?,This composer was born in a German-speaking country in Central Europe that is known for its Alpine scenery and classical music heritage. In which country was Wolfgang Amadeus Mozart born?,Austria,,,,,,,,,
kb_019_hint_natural,kb_019,KB,Hint Gain (KP),natural,In which country is the Taj Mahal located?,This monument is located in a South Asian country that is the world's most populous democracy. In which country is the Taj Mahal located?,India,,,,,,,,,
kb_003_hint_symbolic,kb_003,KB,Hint Gain (KP),symbolic,"In this system, Amazon River = ∆, Atlantic Ocean = ◇, flows_into = ⊕.
Which ocean does the ∆ flow into?","In this system, Amazon River = ∆, Atlantic Ocean = ◇, flows_into = ⊕.
This ocean is the second largest in the world and borders both the Americas and Europe/Africa. Which ocean does the ∆ flow into?",Atlantic Ocean,,,,,,,,,
kb_013_hint_symbolic,kb_013,KB,Hint Gain (KP),symbolic,"In this system, Isaac Newton = ∆, Principia Mathematica = ◇, wrote = ⊕.
What major work did ∆ write?","In this system, Isaac Newton = ∆, Principia Mathematica = ◇, wrote = ⊕.
This work laid the foundations of classical mechanics and was published in 1687. What major work did ∆ write?",Principia Mathematica,,,,,,,,,
kb_012_hint_symbolic,kb_012,KB,Hint Gain (KP),symbolic,"In this system, Eiffel Tower = ∆, Paris = ◇, located_in = ⊕.
In which city is the ∆ located?","In this system, Eiffel Tower = ∆, Paris = ◇, located_in = ⊕.
This iconic iron lattice tower is located in the capital city of France. In which city is the ∆ located?",Paris,,,,,,,,,
kb_008_hint_symbolic,kb_008,KB,Hint Gain (KP),symbolic,"In this system, Sahara Desert = ∆, Africa = ◇, located_in = ⊕.
On which continent is the ∆ located?","In this system, Sahara Desert = ∆, Africa = ◇, located_in = ⊕.
This desert is the largest hot desert in the world and spans multiple countries including Egypt, Libya, and Algeria. On which continent is the ∆ located?",Africa,,,,,,,,,
kb_025_hint_symbolic,kb_025,KB,Hint Gain (KP),symbolic,"In this system, Pyramids of Giza = ∆, Egypt = ◇, located_in = ⊕.
In which country are the ∆ located?","In this system, Pyramids of Giza = ∆, Egypt = ◇, located_in = ⊕.
These ancient structures are located in a North African country that borders the Mediterranean Sea and is home to the Nile River. In which country are the ∆ located?",Egypt,,,,,,,,,
