family_id,task_family,sub_family,quality_grade,quality_score,recommended_action,issues
kb_001,KB,country_capital,D,0.19999999999999996,exclude,answer_leak
kb_002,KB,country_capital,D,0.0,exclude,answer_leak
kb_003,KB,country_capital,D,0.19999999999999996,exclude,answer_leak
kb_004,KB,country_capital,A,1.0,use,
kb_005,KB,country_capital,A,1.0,use,
kb_006,KB,country_capital,A,1.0,use,
kb_007,KB,country_capital,D,0.19999999999999996,exclude,answer_leak
kb_008,KB,country_capital,A,1.0,use,
kb_009,KB,work_author,A,1.0,use,
kb_010,KB,work_author,A,1.0,use,
kb_011,KB,work_author,A,1.0,use,
kb_012,KB,work_author,D,0.19999999999999996,exclude,answer_leak
kb_013,KB,work_author,A,1.0,use,
kb_014,KB,work_author,A,1.0,use,
kb_015,KB,work_author,D,0.19999999999999996,exclude,answer_leak
kb_016,KB,work_author,A,1.0,use,
kb_017,KB,element_symbol,A,1.0,use,
kb_018,KB,element_symbol,A,1.0,use,
kb_019,KB,element_symbol,D,0.19999999999999996,exclude,answer_leak
kb_020,KB,element_symbol,D,0.19999999999999996,exclude,answer_leak
kb_021,KB,element_symbol,D,0.19999999999999996,exclude,answer_leak
kb_022,KB,element_symbol,A,1.0,use,
kb_023,KB,element_symbol,A,1.0,use,
kb_024,KB,entity_attribute,A,1.0,use,
kb_025,KB,entity_attribute,D,0.19999999999999996,exclude,answer_leak
kb_026,KB,entity_attribute,D,0.19999999999999996,exclude,answer_leak
kb_027,KB,entity_attribute,D,0.0,exclude,answer_leak
kb_028,KB,entity_attribute,A,1.0,use,
kb_029,KB,entity_attribute,D,0.19999999999999996,exclude,answer_leak
kb_030,KB,entity_attribute,D,0.19999999999999996,exclude,answer_leak
rb_001,RB,linear_equation,C,0.6,exclude,
rb_002,RB,linear_equation,C,0.6,exclude,
rb_003,RB,linear_equation,A,1.0,use,
rb_004,RB,linear_equation,D,0.29999999999999993,exclude,
rb_005,RB,linear_equation,C,0.6,exclude,
rb_006,RB,linear_equation,A,1.0,use,
rb_007,RB,syllogistic_logic,D,0.0,exclude,answer_leak
rb_008,RB,syllogistic_logic,A,1.0,use,
rb_009,RB,syllogistic_logic,A,1.0,use,
rb_010,RB,syllogistic_logic,A,1.0,use,
rb_011,RB,syllogistic_logic,D,0.19999999999999996,exclude,answer_leak
rb_012,RB,syllogistic_logic,C,0.6,exclude,invalid_substitution
rb_013,RB,sequence_pattern,D,0.0,exclude,answer_leak
rb_014,RB,sequence_pattern,D,0.0,exclude,answer_leak
rb_015,RB,sequence_pattern,D,0.29999999999999993,exclude,
rb_016,RB,sequence_pattern,D,0.29999999999999993,exclude,
rb_017,RB,sequence_pattern,D,0.0,exclude,answer_leak
rb_018,RB,boolean_logic,D,0.29999999999999993,exclude,
rb_019,RB,boolean_logic,A,1.0,use,
rb_020,RB,boolean_logic,A,1.0,use,
rb_021,RB,boolean_logic,A,1.0,use,
rb_022,RB,function_application,C,0.6,exclude,
rb_023,RB,function_application,C,0.6,exclude,
rb_024,RB,function_application,D,0.29999999999999993,exclude,
rb_025,RB,function_application,D,0.29999999999999993,exclude,
rb_026,RB,function_application,C,0.7,review,
rb_027,RB,function_application,D,0.19999999999999996,exclude,invalid_substitution
rb_028,RB,linear_equation,C,0.6,exclude,
rb_029,RB,syllogistic_logic,C,0.6,exclude,weak_distractor_set
rb_030,RB,sequence_pattern,D,0.0,exclude,answer_leak
hybrid_001,Hybrid,two_hop_relational,D,0.19999999999999996,review_or_exclude,answer_leak
hybrid_002,Hybrid,two_hop_relational,C,0.7,review,
hybrid_003,Hybrid,two_hop_relational,A,1.0,use,
hybrid_004,Hybrid,two_hop_relational,D,0.0,review_or_exclude,answer_leak;invalid_substitution
hybrid_005,Hybrid,two_hop_relational,D,0.19999999999999996,review_or_exclude,answer_leak
hybrid_006,Hybrid,two_hop_relational,D,0.0,review_or_exclude,answer_leak;invalid_substitution
hybrid_007,Hybrid,two_hop_relational,C,0.7,review,
hybrid_008,Hybrid,two_hop_relational,D,0.0,review_or_exclude,answer_leak
hybrid_009,Hybrid,two_hop_relational,C,0.6,review_or_exclude,answer_leak
hybrid_010,Hybrid,two_hop_relational,D,0.0,review_or_exclude,answer_leak
hybrid_011,Hybrid,retrieve_transform,A,1.0,use,
hybrid_012,Hybrid,retrieve_transform,A,1.0,use,
hybrid_013,Hybrid,retrieve_transform,D,0.19999999999999996,review_or_exclude,answer_leak
hybrid_014,Hybrid,two_hop_relational,D,0.19999999999999996,review_or_exclude,answer_leak
hybrid_015,Hybrid,two_hop_relational,A,1.0,use,
hybrid_016,Hybrid,two_hop_relational,A,1.0,use,
hybrid_017,Hybrid,two_hop_relational,D,0.19999999999999996,review_or_exclude,answer_leak
hybrid_018,Hybrid,two_hop_relational,D,0.0,review_or_exclude,answer_leak
hybrid_019,Hybrid,two_hop_relational,A,1.0,use,
hybrid_020,Hybrid,retrieve_transform,D,0.19999999999999996,review_or_exclude,answer_leak
hybrid_021,Hybrid,retrieve_transform,D,0.19999999999999996,review_or_exclude,invalid_substitution;mcq_type_mismatch
hybrid_022,Hybrid,retrieve_transform,D,0.19999999999999996,review_or_exclude,answer_leak
hybrid_023,Hybrid,retrieve_transform,D,0.19999999999999996,review_or_exclude,answer_leak
hybrid_024,Hybrid,retrieve_transform,D,0.19999999999999996,review_or_exclude,answer_leak
hybrid_025,Hybrid,retrieve_rule_apply,C,0.6,review_or_exclude,weak_distractor_set
hybrid_026,Hybrid,retrieve_rule_apply,C,0.6,review_or_exclude,weak_distractor_set
hybrid_027,Hybrid,retrieve_rule_apply,A,1.0,use,
hybrid_028,Hybrid,retrieve_rule_apply,A,1.0,use,
hybrid_029,Hybrid,retrieve_rule_apply,A,1.0,use,
hybrid_030,Hybrid,retrieve_rule_apply,C,0.6,review_or_exclude,invalid_substitution
