dataset,label_name,split_name,train_dataset,test_dataset,feature_mode,position,best_layer,hidden_f1,train_pos,train_neg,test_pos,test_neg,is_delta_feature,source_summary_path
gpt_test,removal_dependent,realization::train_natural__test_symbolic,gpt_test,gpt_test,delta::premise_removal-original,pre_answer,17,0.825,37,53,59,31,True,outputs/first_pass_probing/gpt_test/pre_answer/delta::premise_removal-original/removal_dependent/realization::train_natural__test_symbolic/summary.json
gpt_test,removal_dependent,realization::train_natural__test_symbolic,gpt_test,gpt_test,delta::premise_removal-original,final_input,13,0.7948016415868673,37,53,59,31,True,outputs/first_pass_probing/gpt_test/final_input/delta::premise_removal-original/removal_dependent/realization::train_natural__test_symbolic/summary.json
gpt_test,wrong_claim_susceptible,realization::train_natural__test_symbolic,gpt_test,gpt_test,delta::wrongclaim_bare-original,pre_answer,2,0.7456189937817976,12,78,25,65,True,outputs/first_pass_probing/gpt_test/pre_answer/delta::wrongclaim_bare-original/wrong_claim_susceptible/realization::train_natural__test_symbolic/summary.json
gpt_test,wrong_claim_susceptible,realization::train_natural__test_symbolic,gpt_test,gpt_test,delta::wrongclaim_bare-original,final_input,28,0.7025240384615384,12,78,25,65,True,outputs/first_pass_probing/gpt_test/final_input/delta::wrongclaim_bare-original/wrong_claim_susceptible/realization::train_natural__test_symbolic/summary.json
gpt_test,removal_dependent,realization::train_symbolic__test_natural,gpt_test,gpt_test,delta::premise_removal-original,final_input,12,0.6592244418331374,59,31,37,53,True,outputs/first_pass_probing/gpt_test/final_input/delta::premise_removal-original/removal_dependent/realization::train_symbolic__test_natural/summary.json
probe_ready,wrong_claim_susceptible,realization::train_natural__test_symbolic,probe_ready,probe_ready,delta::wrongclaim_bare-original,final_input,32,0.6344025773917916,32,58,16,74,True,outputs/first_pass_probing/probe_ready/final_input/delta::wrongclaim_bare-original/wrong_claim_susceptible/realization::train_natural__test_symbolic/summary.json
gpt_test,wrong_claim_susceptible,realization::train_symbolic__test_natural,gpt_test,gpt_test,delta::wrongclaim_bare-original,final_input,22,0.6199324324324325,25,65,12,78,True,outputs/first_pass_probing/gpt_test/final_input/delta::wrongclaim_bare-original/wrong_claim_susceptible/realization::train_symbolic__test_natural/summary.json
probe_ready,wrong_claim_susceptible,realization::train_natural__test_symbolic,probe_ready,probe_ready,delta::wrongclaim_bare-original,pre_answer,16,0.608957219251337,32,58,16,74,True,outputs/first_pass_probing/probe_ready/pre_answer/delta::wrongclaim_bare-original/wrong_claim_susceptible/realization::train_natural__test_symbolic/summary.json
gpt_test,removal_dependent,realization::train_symbolic__test_natural,gpt_test,gpt_test,delta::premise_removal-original,pre_answer,26,0.599802371541502,59,31,37,53,True,outputs/first_pass_probing/gpt_test/pre_answer/delta::premise_removal-original/removal_dependent/realization::train_symbolic__test_natural/summary.json
probe_ready,wrong_claim_susceptible,realization::train_symbolic__test_natural,probe_ready,probe_ready,delta::wrongclaim_bare-original,pre_answer,6,0.5824668053111501,16,74,32,58,True,outputs/first_pass_probing/probe_ready/pre_answer/delta::wrongclaim_bare-original/wrong_claim_susceptible/realization::train_symbolic__test_natural/summary.json
probe_ready,wrong_claim_susceptible,realization::train_symbolic__test_natural,probe_ready,probe_ready,delta::wrongclaim_bare-original,final_input,5,0.5482295482295483,16,74,32,58,True,outputs/first_pass_probing/probe_ready/final_input/delta::wrongclaim_bare-original/wrong_claim_susceptible/realization::train_symbolic__test_natural/summary.json
gpt_test,wrong_claim_susceptible,realization::train_symbolic__test_natural,gpt_test,gpt_test,delta::wrongclaim_bare-original,pre_answer,24,0.54398894518655,25,65,12,78,True,outputs/first_pass_probing/gpt_test/pre_answer/delta::wrongclaim_bare-original/wrong_claim_susceptible/realization::train_symbolic__test_natural/summary.json
gpt_test,removal_dependent,block::train_KB_RB__test_Hybrid,gpt_test,gpt_test,absolute::h_original,final_input,2,0.765625,62,58,34,26,False,outputs/first_pass_probing/gpt_test/final_input/absolute::h_original/removal_dependent/block::train_KB_RB__test_Hybrid/summary.json
gpt_test,removal_dependent,held_out_sub_family::,gpt_test,gpt_test,absolute::h_original,final_input,2,0.765625,62,58,34,26,False,outputs/first_pass_probing/gpt_test/final_input/absolute::h_original/removal_dependent/held_out_sub_family::/summary.json
gpt_test,removal_dependent,realization::train_natural__test_symbolic,gpt_test,gpt_test,absolute::h_original,pre_answer,0,0.7566105769230769,37,53,59,31,False,outputs/first_pass_probing/gpt_test/pre_answer/absolute::h_original/removal_dependent/realization::train_natural__test_symbolic/summary.json
gpt_test,removal_dependent,realization::train_natural__test_symbolic,gpt_test,gpt_test,absolute::h_original,final_input,0,0.7481481481481482,37,53,59,31,False,outputs/first_pass_probing/gpt_test/final_input/absolute::h_original/removal_dependent/realization::train_natural__test_symbolic/summary.json
gpt_test,wrong_claim_susceptible,realization::train_natural__test_symbolic,gpt_test,gpt_test,absolute::h_original,final_input,31,0.7352570388009525,12,78,25,65,False,outputs/first_pass_probing/gpt_test/final_input/absolute::h_original/wrong_claim_susceptible/realization::train_natural__test_symbolic/summary.json
gpt_test,removal_dependent,block::train_KB__test_Hybrid,gpt_test,gpt_test,absolute::h_original,pre_answer,11,0.717978848413631,41,19,34,26,False,outputs/first_pass_probing/gpt_test/pre_answer/absolute::h_original/removal_dependent/block::train_KB__test_Hybrid/summary.json
gpt_test,removal_dependent,block::train_RB__test_Hybrid,gpt_test,gpt_test,absolute::h_original,final_input,2,0.7127569698676429,21,39,34,26,False,outputs/first_pass_probing/gpt_test/final_input/absolute::h_original/removal_dependent/block::train_RB__test_Hybrid/summary.json
gpt_test,removal_dependent,realization::train_symbolic__test_natural,gpt_test,gpt_test,absolute::h_original,final_input,5,0.6947496947496947,59,31,37,53,False,outputs/first_pass_probing/gpt_test/final_input/absolute::h_original/removal_dependent/realization::train_symbolic__test_natural/summary.json
probe_ready,wrong_claim_susceptible,block::train_RB__test_Hybrid,probe_ready,probe_ready,absolute::h_original,final_input,9,0.673794853207684,21,39,10,50,False,outputs/first_pass_probing/probe_ready/final_input/absolute::h_original/wrong_claim_susceptible/block::train_RB__test_Hybrid/summary.json
